Sehir,Sube_Adi,Adres,Place_ID
Uşak,BIM,"Atatürk Mh, YAVUZ SULTAN SELİM, Yavuz Sultan Selim Cd No:105 D:A, MERKEZ/Uşak, Türkiye",ChIJsZu18QeAyBQRDUotTcpiiDM
Uşak,Bim,"Karaağaç Mah. Gediz Uluyolu, Köprü Sk. No:148, 64000 Merkez/Uşak, Türkiye",ChIJtbyT47R_yBQRZw0eoEqZrFI
Uşak,BIM,"Ünalan, Atatürk Blv. No:112 D:A, 64100 MERKEZ/Uşak, Türkiye",ChIJqX1oObx_yBQR1u7jS64qIlY
Uşak,Bim,"Mehmet Akif Ersoy, Şht. İsmail Çetin Cd. No:88/A, 64200 Merkez/Uşak, Türkiye",ChIJ29gViX2AyBQRoar4cBqNMCk
Uşak,BIM,"Fevzi Çakmak Mah, Merkez, 1. Karanfil Sk. No:1/A, Uşak Merkez, Türkiye",ChIJCX5oe3SAyBQRAAIXhZEpPM8
Uşak,Bim,"Karaağaç, Tekmen Uluyolu Sk. No:8 D:A, No:3 Uşak Merkez/Uşak, Türkiye",ChIJlacgO8Z_yBQRYsMsCuMFP7E
Uşak,BIM,"Fevzi Çakmak, Halil Kaya Gedik Blv. No:123 D:B, 64300 Uşak Merkez/Uşak, Türkiye",ChIJTRUbNxSAyBQRdUfHqGrB71g
Van,BIM,"Halilağa, Melen Cd. No:93, 65140 İpekyolu/Van, Türkiye",ChIJJ3aPUndwEkARdnrbqDX_JM4
Van,Van Bim Depo,"Kalecik, 65090 Van Merkez/Van, Türkiye",ChIJ2S3KItFkEkART-1aOXWT5IE
Van,Bim,"Hafiziye, Gölbaşı Sk. No:12, 65140 Van Merkez/Van, Türkiye",ChIJDXv5TG5wEkARnykt18FFtaY
Van,BIM,"Erenkent Mah 2.Etap, Cevdet Paşa, Küme Evler Sk. 21/A, 65300 İpekyolu/Van, Türkiye",ChIJhaReoFhwEkARIVFu6IhiJKM
